Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,GPD per capita (2018)
Australia,5.0,,81.0,12.840000000000002,73.0,64.13333333333333,1.1,32759.0,427064.0,20.0,5.922000000000001,82.5,7.35,1.3066666666666666,49126.0,95.25,,87.25,2.7,411.2,14.35,91.0,92.66666666666669,20.966666666666665,57395.91947000001
Austria,16.0,0.9,85.0,6.590000000000002,72.0,80.7,0.4666666666666666,33541.0,308325.0,21.0,4.0760000000000005,81.7,7.225,1.83,50349.0,92.0,1.6,70.6,1.3,492.8,14.53,80.0,92.0,17.0,51525.04643
Belgium,15.0,1.9,77.0,4.703333333333333,63.33333333333334,70.26666666666667,1.0333333333333334,30364.0,386006.0,21.0,4.0520000000000005,81.5,7.000000000000001,3.533333333333333,49675.0,92.0,2.2,73.6,2.0,503.8,15.663333333333332,89.0,83.66666666666667,19.3,47491.32326000001
Brazil,10.0,6.7,49.0,7.006666666666668,61.0,35.86666666666667,27.0,,,,,74.76666666666667,6.400000000000001,,,89.25,,,2.2,398.2,,79.0,73.0,16.166666666666668,9001.234249
Canada,7.0,0.2,91.33333333333331,3.673333333333333,73.33333333333333,82.5,1.2666666666666666,30854.0,423849.0,22.0,7.047999999999999,81.86666666666666,7.425000000000002,0.7633333333333333,47622.0,93.25,2.6,87.8,2.9,523.2,14.553333333333335,68.0,91.0,17.333333333333332,46313.17137
Chile,16.0,9.4,65.0,9.316666666666666,62.66666666666666,48.0,4.2,,100967.0,18.0,8.168000000000001,79.89999999999998,6.48,,25879.0,84.6,1.2,57.0,1.3,443.8,,47.0,71.0,17.5,15924.79424
Colombia,10.0,23.9,54.0,26.00666666666667,67.0,44.56666666666666,25.0,,,17.0,,76.23333333333333,6.2666666666666675,0.82,,89.0,1.2,,1.4,412.8,,53.0,74.66666666666667,14.1,6718.585324
Czech Republic,20.0,0.7,93.66666666666669,5.496666666666667,73.66666666666667,72.53333333333333,0.5,21453.0,,24.0,7.207999999999999,79.1,6.7,1.0566666666666666,25372.0,91.75,1.4,60.8,1.6,492.2,,61.0,86.66666666666669,17.900000000000006,23046.94913
Denmark,9.0,0.5,81.0,2.316666666666667,74.0,83.56666666666669,0.6,29606.0,118637.0,23.0,4.606,80.89999999999998,7.65,1.3133333333333337,51466.0,95.5,1.9,72.6,2.0,505.2,15.873333333333333,86.0,95.0,19.5,61390.69301
Estonia,8.0,7.0,88.66666666666669,2.436666666666667,74.0,69.63333333333333,3.1666666666666665,19697.0,159373.0,17.0,4.3919999999999995,77.76666666666667,5.7799999999999985,1.916666666666667,24336.0,91.2,1.6,54.4,2.7,525.8,14.886666666666665,64.0,84.0,17.7,23258.46758
Finland,6.0,0.5,88.0,3.8166666666666655,70.33333333333333,85.26666666666667,1.2666666666666668,29943.0,200827.0,23.0,4.508,81.5,7.659999999999998,2.123333333333333,42964.0,94.8,1.9,70.2,2.2,523.6,15.163333333333332,67.0,95.0,19.83333333333333,50021.29106
France,13.0,0.5,78.33333333333333,7.656666666666666,65.33333333333333,70.7,0.4666666666666667,31304.0,280653.0,21.0,8.379999999999999,82.36666666666667,6.540000000000001,3.996666666666666,43755.0,89.0,1.8,66.4,2.1,497.4,16.336666666666666,75.0,81.0,16.5,41631.09074
Germany,14.0,0.2,86.66666666666669,4.196666666666666,75.33333333333333,72.60000000000002,0.5,34294.0,259667.0,20.0,4.928,81.06666666666666,7.1,1.5566666666666666,47585.0,90.5,1.8,65.4,1.8,511.0,15.613333333333335,76.0,91.33333333333331,18.1,47639.00344
Greece,18.0,0.5,73.0,6.28,53.33333333333334,60.20000000000001,0.8333333333333334,17700.0,150134.0,23.0,29.2,81.46666666666667,5.340000000000002,15.896666666666668,26064.0,78.8,1.2,76.0,1.8,460.2,,64.0,69.33333333333333,19.0,20324.30501
Hungary,19.0,4.7,84.0,2.9766666666666666,68.0,56.7,1.0,,104458.0,19.0,5.256,76.16666666666667,5.68,1.7266666666666666,22576.0,85.5,1.2,61.0,1.2,475.0,,70.0,77.0,16.433333333333334,16150.77276
Iceland,3.0,0.0,77.0,14.866666666666667,85.66666666666667,86.3,0.5,,,24.0,0.6619999999999999,82.26666666666667,7.58,0.25666666666666665,61787.0,98.0,1.6,76.0,2.1,480.8,,79.0,98.66666666666669,19.033333333333328,72968.70422999999
Ireland,7.0,1.0,82.0,5.26,67.33333333333333,76.00000000000001,0.6666666666666666,25310.0,217130.0,20.0,8.783999999999999,81.76666666666667,7.05,3.203333333333333,47653.0,95.0,2.1,82.8,1.3,509.8,,65.0,85.0,18.1,78621.22796
Israel,21.0,,87.33333333333331,15.273333333333332,69.0,69.96666666666667,1.8333333333333333,,,,4.2,82.46666666666665,7.225,0.4866666666666666,35067.0,88.5,1.2,86.75,2.5,470.0,,72.0,67.0,15.633333333333333,41719.72544
Italy,18.0,0.7,61.0,4.003333333333334,58.0,58.6,0.6,26588.0,279889.0,23.0,12.132,83.3,6.14,6.6400000000000015,36658.0,91.8,1.4,71.8,2.5,485.0,16.313333333333333,73.0,71.0,16.599999999999998,34520.08516
Japan,14.0,6.4,,,75.0,72.8,0.20000000000000004,29798.0,305878.0,22.0,2.22,84.06666666666666,5.9,0.9966666666666668,40863.0,88.75,1.9,34.8,1.4,528.8,,53.0,87.0,16.366666666666664,39159.42356
Korea,28.0,2.5,87.66666666666669,,66.66666666666667,66.66666666666667,1.0,21882.0,285980.0,15.0,2.302,82.36666666666666,5.866666666666667,0.05000000000000001,35191.0,78.33333333333333,1.5,33.0,2.9,520.0,14.583333333333336,77.0,76.0,17.266666666666666,33340.26515
Latvia,11.0,13.9,87.66666666666669,1.28,70.0,63.06666666666667,4.933333333333334,16275.0,70160.0,23.0,11.316,74.7,5.94,3.353333333333333,23683.0,86.2,1.2,48.0,2.2,487.6,13.826666666666668,59.0,79.33333333333333,18.033333333333328,17805.28031
Lithuania,14.0,13.6,92.66666666666669,0.5466666666666666,70.33333333333333,56.23333333333333,3.433333333333333,21660.0,,19.0,,74.8,5.98,2.6966666666666668,24287.0,88.4,1.5,45.6,2.4,476.6,,51.0,80.66666666666667,18.4,19080.61737
Luxembourg,12.0,0.5,76.66666666666667,3.74,66.33333333333333,75.86666666666666,0.5666666666666667,39264.0,769053.0,21.0,1.722,82.76666666666667,6.9,2.3433333333333333,63062.0,93.0,1.9,69.4,1.7,485.4,,91.0,84.0,15.1,116654.2611
Mexico,16.0,25.5,37.66666666666666,27.28,61.66666666666666,41.966666666666654,18.633333333333333,,,20.0,5.395999999999999,75.4,6.466666666666666,0.06666666666666668,15314.0,81.6,1.0,65.66666666666667,3.2,416.0,,63.0,67.66666666666667,15.166666666666664,9673.443674
Netherlands,14.0,0.1,78.33333333333333,0.4133333333333333,75.66666666666667,82.06666666666666,0.6,29333.0,157824.0,19.0,4.93,81.60000000000002,7.5,1.9766666666666663,52877.0,91.0,1.9,75.8,2.6,509.6,,82.0,93.0,18.666666666666668,53048.09621
New Zealand,5.0,,78.66666666666667,15.036666666666667,77.0,66.26666666666667,1.3,,388514.0,26.0,4.7,81.7,7.3,0.7366666666666667,40043.0,96.25,2.4,89.25,2.5,506.2,14.883333333333333,80.0,89.0,17.7,42949.93058
Norway,5.0,0.0,82.0,2.8866666666666667,74.0,90.03333333333335,0.4,35725.0,228936.0,17.0,,82.46666666666665,7.619999999999999,0.6566666666666666,51212.0,94.0,2.1,77.2,2.2,504.8,15.563333333333333,78.0,97.66666666666669,18.33333333333333,81734.46557
OECD - Total,14.0,4.4,78.33333333333333,10.786666666666667,68.0,68.5,3.733333333333333,33604.0,408376.0,20.0,7.75,80.2,6.48,1.7833333333333332,43241.0,88.4,1.8,69.2,2.4,490.4,14.896666666666668,68.0,81.0,17.2,39299.24225
Poland,22.0,3.0,92.0,5.823333333333334,66.0,67.46666666666665,0.7333333333333334,19814.0,210991.0,22.0,6.984,77.96666666666667,6.1000000000000005,1.5133333333333334,27046.0,86.0,1.1,60.0,2.6,505.4,14.39,55.0,82.0,17.666666666666668,15460.64428
Portugal,10.0,1.0,47.66666666666666,8.34,68.0,73.76666666666667,1.0,21203.0,232666.0,21.0,9.624,81.2,5.48,4.43,25367.0,88.0,1.7,48.2,1.5,499.4,,56.0,86.33333333333331,16.933333333333334,23461.57186
Russia,15.0,14.8,94.0,0.14,70.33333333333333,53.46666666666667,9.933333333333334,,,18.0,,71.8,5.88,1.586666666666667,,90.0,0.9,43.33333333333334,,491.8,,68.0,55.33333333333334,16.2,11584.99538
Slovak Republic,21.0,1.2,91.33333333333331,4.073333333333333,66.0,63.7,0.7999999999999999,20474.0,119696.0,23.0,21.376,77.26666666666667,6.425000000000002,4.773333333333333,24328.0,91.5,1.1,68.6,3.0,463.4,,60.0,84.66666666666667,15.766666666666666,19428.11621
Slovenia,16.0,0.4,88.0,4.333333333333333,69.33333333333333,86.16666666666669,0.6,20820.0,203044.0,18.0,6.337999999999999,81.26666666666667,5.933333333333334,3.1766666666666663,34933.0,91.66666666666669,1.5,64.4,2.5,510.4,14.73,53.0,89.66666666666669,18.366666666666667,26054.5421
South Africa,22.0,37.0,73.33333333333333,17.84,43.33333333333334,36.333333333333336,14.0,,,18.0,,57.5,4.7,16.643333333333334,,88.0,,,,,14.769999999999998,73.0,67.0,,6374.028196
Spain,11.0,0.1,59.0,3.963333333333333,62.33333333333334,82.16666666666667,0.6,23999.0,373548.0,21.0,23.791999999999998,83.39999999999998,6.225,7.710000000000001,38507.0,92.75,1.9,74.0,1.8,492.4,15.86,70.0,72.33333333333333,17.900000000000006,30337.67913
Sweden,6.0,0.0,83.0,1.0666666666666669,76.66666666666667,75.56666666666666,0.9,31287.0,,19.0,4.232,82.36666666666666,7.399999999999999,1.1133333333333333,42393.0,91.5,1.7,75.0,2.0,497.0,15.176666666666668,86.0,96.0,19.3,54589.06039
Switzerland,15.0,0.1,87.66666666666669,0.3700000000000001,79.66666666666667,85.33333333333333,0.6,37466.0,,22.0,,83.66666666666667,7.5,1.8266666666666669,62283.0,93.33333333333331,1.9,77.4,2.3,507.4,,49.0,95.33333333333331,17.5,82818.10816
Turkey,20.0,8.0,39.0,31.043333333333337,51.66666666666666,59.83333333333334,1.3666666666666665,,,20.0,12.06,78.0,5.52,2.66,,86.0,1.0,70.4,1.5,426.8,14.65333333333333,86.0,65.0,18.3,9370.176355
United Kingdom,11.0,0.3,81.0,12.123333333333335,75.0,77.76666666666667,0.16666666666666666,28715.0,548392.0,26.0,4.7440000000000015,81.2,6.8599999999999985,1.1266666666666667,43732.0,94.0,1.9,70.0,3.1,502.4,14.916666666666664,69.0,83.66666666666667,17.5,43043.22782
United States,10.0,0.1,90.66666666666669,10.99,70.0,73.89999999999998,5.5,45284.0,632100.0,19.0,9.072000000000001,78.6,7.0,0.6566666666666667,60558.0,91.75,2.4,86.8,3.1,489.4,14.44,65.0,82.66666666666667,17.2,62996.66482000001
